iter	Passed	Remaining
723	22432	8551
724	22462	8520
725	22491	8488
726	22521	8457
727	22551	8425
728	22581	8394
729	22612	8363
730	22641	8331
731	22670	8300
732	22701	8269
733	22729	8237
734	22761	8206
735	22792	8175
736	22822	8144
737	22852	8112
738	22881	8081
739	22915	8051
740	22944	8019
741	22973	7988
742	23003	7956
743	23033	7925
744	23065	7894
745	23094	7863
746	23123	7831
747	23153	7800
748	23181	7768
749	23211	7737
750	23243	7706
751	23271	7674
752	23300	7642
753	23329	7611
754	23361	7580
755	23391	7549
756	23420	7518
757	23451	7487
758	23480	7455
759	23509	7424
760	23542	7393
761	23574	7363
762	23606	7332
763	23653	7306
764	23685	7275
765	23717	7245
766	23749	7214
767	23780	7183
768	23812	7153
769	23841	7121
770	23872	7090
771	23904	7060
772	23935	7028
773	23954	6994
774	23983	6962
775	24013	6931
776	24046	6901
777	24079	6871
778	24111	6840
779	24144	6809
780	24175	6779
781	24211	6749
782	24243	6718
783	24280	6689
784	24317	6660
785	24351	6630
786	24384	6599
787	24415	6568
788	24448	6538
789	24478	6507
790	24510	6476
791	24544	6446
792	24576	6415
793	24608	6384
794	24641	6354
795	24672	6323
796	24706	6292
797	24737	6261
798	24769	6231
799	24801	6200
800	24831	6169
801	24885	6143
802	24918	6113
803	24953	6083
804	24986	6052
805	25020	6022
806	25056	5992
807	25089	5961
808	25122	5931
809	25155	5900
810	25191	5870
811	25235	5842
812	25267	5811
813	25301	5781
814	25333	5750
815	25366	5719
816	25400	5689
817	25435	5659
818	25475	5630
819	25517	5601
820	25551	5570
821	25584	5540
822	25617	5509
823	25644	5477
824	25677	5446
825	25713	5416
826	25747	5386
827	25779	5355
828	25812	5324
829	25844	5293
830	25877	5262
831	25911	5232
832	25947	5202
833	25980	5171
834	26012	5140
835	26049	5110
836	26082	5079
837	26115	5048
838	26150	5018
839	26185	4987
840	26223	4957
841	26257	4927
842	26292	4896
843	26327	4866
844	26360	4835
845	26402	4806
846	26439	4775
847	26474	4745
848	26511	4715
849	26556	4686
850	26592	4656
851	26646	4628
852	26682	4598
853	26716	4567
854	26754	4537
855	26794	4507
856	26835	4477
857	26877	4448
858	26916	4418
859	26954	4387
860	26998	4358
861	27036	4328
862	27067	4296
863	27103	4266
864	27137	4235
865	27170	4204
866	27205	4173
867	27241	4142
868	27273	4111
869	27308	4080
870	27342	4049
871	27375	4018
872	27408	3987
873	27439	3955
874	27471	3924
875	27501	3892
876	27535	3861
877	27568	3830
878	27603	3799
879	27634	3768
880	27665	3736
881	27698	3705
882	27732	3674
883	27766	3643
884	27801	3612
885	27834	3581
886	27870	3550
887	27899	3518
888	27930	3487
889	27964	3456
890	27995	3424
891	28033	3394
892	28065	3362
893	28095	3331
894	28126	3299
895	28161	3268
896	28195	3237
897	28227	3206
898	28261	3175
899	28296	3144
900	28328	3112
901	28357	3080
902	28386	3049
903	28419	3018
904	28454	2986
905	28487	2955
906	28538	2926
907	28572	2895
908	28603	2863
909	28635	2832
910	28668	2800
911	28700	2769
912	28733	2738
913	28765	2706
914	28800	2675
915	28834	2644
916	28863	2612
917	28893	2580
918	28924	2549
919	28956	2517
920	28988	2486
921	29022	2455
922	29054	2423
923	29085	2392
924	29121	2361
925	29153	2329
926	29187	2298
927	29220	2267
928	29252	2235
929	29285	2204
930	29317	2172
931	29349	2141
932	29380	2109
933	29416	2078
934	29452	2047
935	29486	2016
936	29518	1984
937	29551	1953
938	29589	1922
939	29622	1890
940	29656	1859
941	29690	1828
942	29724	1796
943	29755	1765
944	29788	1733
945	29824	1702
946	29859	1671
947	29894	1639
948	29925	1608
949	29957	1576
950	29991	1545
951	30024	1513
952	30058	1482
953	30097	1451
954	30131	1419
955	30170	1388
956	30208	1357
957	30242	1325
958	30276	1294
959	30324	1263
960	30362	1232
961	30399	1200
962	30434	1169
963	30467	1137
964	30501	1106
965	30536	1074
966	30570	1043
967	30607	1011
968	30642	980
969	30678	948
970	30716	917
971	30753	885
972	30788	854
973	30819	822
974	30853	791
975	30883	759
976	30915	727
977	30948	696
978	30980	664
979	31014	632
980	31048	601
981	31083	569
982	31119	538
983	31154	506
984	31190	474
985	31224	443
986	31257	411
987	31288	380
988	31319	348
989	31356	316
990	31390	285
991	31427	253
992	31463	221
993	31499	190
994	31531	158
995	31562	126
996	31593	95
997	31625	63
998	31658	31
999	31691	0
