,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,NaturalGas_Percentage,Electricity_Percentage,SteamUse_Percentage,ParkingGFA_Percentage,Neighborhood_EUI/SF,PrimaryPropertyType_EUI/SF
1472,Self-Storage Facility,NORTHEAST,0.6931471805599453,1.0986122886681098,9.918228370857626,0.0,9.918228370857626,Self-Storage Facility,9.918228370857626,none,0.0,none,0.0,13.659635538150297,1.9416152247724325,64,0.0,99.99998539148127,0.0,0.0,4.51823090404021,2.971743123813331
1473,Mixed Use Property,NORTHEAST,0.6931471805599453,1.0986122886681098,10.004960521466762,0.0,10.004960521466762,Medical Office,9.248502833070532,Office,9.001715906761175,Retail Store,8.071218539969863,14.04791945310635,3.3467411958660964,78,31.98509552489251,68.01486484397819,0.0,0.0,4.51823090404021,4.550527089406856
1474,Medical Office,NORTHEAST,0.6931471805599453,1.3862943611198906,10.555265713985145,0.0,10.555265713985145,Medical Office,10.46501579627588,Parking,8.105609402299896,none,0.0,14.313619339360628,4.0024120051558265,56,55.6625028741327,44.337489529877345,0.0,0.0,4.51823090404021,4.504953110490593
1475,Warehouse,NORTHEAST,0.6931471805599453,1.0986122886681098,10.421596587748377,0.0,10.421596587748377,Non-Refrigerated Warehouse,10.421596587748377,none,0.0,none,0.0,14.058639268934227,3.9265174515785985,43,69.4076194385844,30.59240016569537,0.0,0.0,4.51823090404021,3.558324320392524
1476,Supermarket / Grocery Store,NORTHEAST,0.6931471805599453,0.6931471805599453,10.404444642103513,0.0,10.404444642103513,Supermarket/Grocery Store,10.462617508188442,Parking,0.0,none,0.0,16.180389936932983,5.423495215276265,48,30.847936539733983,69.1520540642018,0.0,0.0,4.51823090404021,5.471408967115091
1481,Other,EAST,0.6931471805599453,0.6931471805599453,9.950943493692423,0.0,9.950943493692423,Parking,10.064074617184076,Retail Store,9.245804036251752,Medical Office,9.04899722156742,13.499975072434518,1.8050046959780757,42,0.0,99.9999742938411,0.0,0.0,4.493776181429274,4.666034874744712
1486,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,0.6931471805599453,1.3862943611198906,10.082093883082601,0.0,10.082093883082601,Office,9.90353755128617,Retail Store,8.271548374755515,none,0.0,13.68035305822964,2.779440197188883,96,22.368941730042927,77.63102249750791,0.0,0.0,4.351925326643182,4.121695953477062
1488,Worship Facility,BALLARD,0.6931471805599453,1.0986122886681098,9.988104398256008,0.0,9.988104398256008,Worship Facility,9.988104398256008,none,0.0,none,0.0,12.974771092247353,2.911263116927541,113,72.200956593225,27.798949222946597,0.0,0.0,4.449931191363842,3.5353565939790244
1494,University,EAST,0.6931471805599453,1.0986122886681098,14.603968372873895,0.0,14.603968372873895,College/University,14.357627850622807,Parking,12.672824117239687,none,0.0,18.55738166705415,8.084710369764215,84,46.20704567315828,53.79294996568643,0.0,0.0,4.493776181429274,4.358324020235269
1496,Worship Facility,CENTRAL,0.6931471805599453,1.0986122886681098,10.187199253484014,0.0,10.187199253484014,Worship Facility,10.187199253484014,none,0.0,none,0.0,14.375974486127069,4.1878349053094395,122,65.17336621212112,34.826640924684504,0.0,0.0,4.311388247635255,3.5353565939790244
